상호명,주소,업종대분류,업종중분류,업종소분류
BLOSSOM,서울특별시 마포구 염리동 8-85,소매,의복의류,여성의류전문점
푸드사랑,서울특별시 마포구 서교동 393,소매,종합소매점,종합소매
김말자,서울특별시 강서구 화곡동 662-5,음식,분식,라면김밥분식
맵시,서울특별시 동대문구 제기동 65,소매,의복의류,일반의류
미샤,서울특별시 은평구 증산동 199-8,소매,화장품소매,화장품판매점
네이처리퍼블릭,서울특별시 은평구 증산동 223-25,소매,화장품소매,화장품판매점
STORYWAY,서울특별시 구로구 개봉동 415,소매,종합소매점,편의점
콧수염아가씨,서울특별시 서초구 서초동 1366-9,소매,종합소매점,잡화점
THEM,서울특별시 강서구 화곡동 1089-3,소매,의복의류,일반의류
CLUBS,서울특별시 강남구 역삼동 858,소매,의복의류,일반의류
TONYMOLY,서울특별시 중랑구 면목동 282-6,소매,화장품소매,화장품판매점
독서타임책대여점,서울특별시 노원구 월계동 85,생활서비스,물품기기대여,도서/만화대여
MEEK,서울특별시 마포구 서교동 393,소매,의복의류,여성의류전문점
Gisami,서울특별시 서초구 서초동 1366-9,소매,종합소매점,잡화점
caf Pascucci,서울특별시 서초구 서초동 1366-9,소매,종합소매점,편의점
제이올라,서울특별시 강남구 역삼동 858,소매,가방/신발/액세서리,액세서리판매
모미지쿡,서울특별시 구로구 개봉동 170-33,음식,일식/수산물,음식점-일식
르파르,서울특별시 마포구 합정동 371-26,음식,한식,한식/백반/한정식
열혈분식,서울특별시 강동구 길동 334-16,음식,분식,라면김밥분식
명동곰국시&대감보쌈,서울특별시 마포구 상암동 5-5,음식,한식,족발/보쌈전문
뷰티랩피부샵,서울특별시 관악구 봉천동 946-15,생활서비스,이/미용/건강,비만/피부관리
만족오향족발논현점,서울특별시 강남구 논현동 164-15,음식,한식,족발/보쌈전문
해나온,서울특별시 서대문구 홍은동 202-5,음식,한식,한식/백반/한정식
깡민한식,서울특별시 마포구 성산동 590-5,음식,한식,한식/백반/한정식
하스,서울특별시 마포구 동교동 148-4,음식,일식/수산물,음식점-일식
리빈코리아갤러리아포레점,서울특별시 성동구 성수동1가 685-696,음식,양식,정통양식/경양식
도라무통,서울특별시 강서구 염창동 184-8,음식,분식,라면김밥분식
월화당,서울특별시 서초구 반포동 105-4,음식,한식,한식/백반/한정식
샤풍,서울특별시 은평구 대조동 38-4,음식,한식,한식/백반/한정식
지노스,서울특별시 중랑구 상봉동 74-7,음식,한식,한식/백반/한정식
CUTTINGPOINT,서울특별시 마포구 동교동 176-11,소매,종합소매점,편의점
황제불닭발,서울특별시 강남구 논현동 182-19,음식,닭/오리요리,닭내장/닭발요리
1인용,서울특별시 송파구 석촌동 181-1,음식,한식,한식/백반/한정식
커피에반하다서울대입구역점,서울특별시 관악구 봉천동 875-8,음식,커피점/카페,커피전문점/카페/다방
고석환만두전골,서울특별시 성북구 동소문동1가 138,음식,분식,국수/만두/칼국수
차이나스토리홍대제2기숙사점,서울특별시 마포구 상수동 72-1,음식,중식,중국음식/중국집
모리본,서울특별시 광진구 중곡동 39-64,음식,일식/수산물,음식점-일식
다경산업사,서울특별시 송파구 석촌동 211-5,부동산,분양,주택공급
오땡큐,서울특별시 양천구 신월동 135-28,생활서비스,이/미용/건강,여성미용실
군산오징어,서울특별시 강남구 수서동 714-3,음식,일식/수산물,낙지/오징어
흥부가반해버리고놀부가기절한닭강정,서울특별시 관악구 봉천동 1674-1,음식,닭/오리요리,후라이드/양념치킨
cantocoffee,서울특별시 강서구 공항동 산20-2,음식,커피점/카페,커피전문점/카페/다방
미샤,서울특별시 서초구 서초동 1366-9,소매,화장품소매,화장품판매점
THEK,서울특별시 마포구 서교동 393,소매,종합소매점,잡화점
Lucistar,서울특별시 마포구 염리동 8-85,소매,가방/신발/액세서리,액세서리판매
TONYMOLY,서울특별시 중랑구 묵동 189-5,소매,화장품소매,화장품판매점
SISCAT,서울특별시 성북구 안암동5가 101-53,소매,종합소매점,잡화점
J&BONE,서울특별시 강서구 방화동 886,소매,의복의류,일반의류
THEK,서울특별시 성동구 행당동 192,소매,의복의류,일반의류
네이처리퍼블릭,서울특별시 성동구 하왕십리동 946-14,소매,화장품소매,화장품판매점
GS25,서울특별시 강남구 역삼동 858,소매,종합소매점,편의점
